OBJECTID,HUC_12,pCanopy
865,010500021212,73.556229110008516
866,010500021213,75.611561847034238
867,010500021214,73.254226714080730
868,010500021215,66.519741938114066
869,010500021301,73.483742186974936
870,010500021302,61.501313821832944
871,010500021303,70.372094291072443
872,010500021304,68.427309869345024
873,010500021401,74.899698486014884
874,010500021402,71.108010391859708
875,010500021403,16.367127496159753
876,010500021404,70.432930414897086
877,010500021405,68.024401026636042
878,010500021406,59.043650087228968
879,010500021407,69.127825107963233
880,010500021408,67.157805961226401
881,010500021409,70.780445472953431
882,010500021410,12.778029812054440
883,010500021501,74.488645161290322
884,010500021502,67.060939089984004
885,010500021503,66.534414132198705
886,010500021504,69.512499194639517
887,010500021505,63.766621129326047
888,010500021506,72.237887493793011
889,010500021507,65.946721485636573
890,010500021508,65.988918274603293
891,010500021509,7.500065780818313
892,010500021601,67.101579158485862
893,010500021602,65.340470390220133
894,010500021701,66.085624264247627
895,010500021702,64.362811451135244
896,010500021703,9.318574514038877
897,010500021801,67.097762378161335
898,010500021802,66.339695218463575
899,010500021803,67.288550942680160
900,010500021901,67.582820575929119
901,010500021902,65.132245414811493
902,010500021903,74.610290865435246
903,010500021904,71.268445897770022
904,010500021905,66.379940570684255
905,010500021906,47.669198055893077
906,010500021907,63.574878510543627
907,010500021908,60.611312897840882
908,010500021909,15.299596484439776
909,010500030101,71.750847457627117
910,010500030102,71.560190725860068
911,010500030103,67.433876068876657
912,010500030104,65.331838344818550
913,010500030105,68.962585731871741
914,010500030106,62.880745167397755
915,010500030107,57.959031707295267
916,010500030201,69.260319519909174
917,010500030202,65.499869011110945
918,010500030203,66.567114140933398
919,010500030204,73.186725663716814
920,010500030205,61.102305111648207
921,010500030206,16.984620886981403
922,010500030301,72.788716852305257
923,010500030302,68.084611606203069
